skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:41:34Z
quality-playbook	github/awesome-copilot	2026-08-05T21:41:34Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:41:34Z
refactor	github/awesome-copilot	2026-08-05T21:41:34Z
code-review	getsentry/skills	2026-08-05T21:41:34Z
code-simplifier	getsentry/skills	2026-08-05T21:41:34Z
find-bugs	getsentry/skills	2026-08-05T21:41:34Z
security-threat-model	openai/skills	2026-08-05T21:41:34Z
supabase	supabase/agent-skills	2026-08-05T21:41:34Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:41:34Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:41:34Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:41:34Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:41:34Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:41:34Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:41:34Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:41:34Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:41:34Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:41:34Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:41:34Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:41:34Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:41:34Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:41:34Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:41:34Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:41:34Z
api-design-principles	wshobson/agents	2026-08-05T21:41:34Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:41:34Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:41:34Z
error-handling-patterns	wshobson/agents	2026-08-05T21:41:34Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:41:34Z
secrets-management	wshobson/agents	2026-08-05T21:41:34Z
sast-configuration	wshobson/agents	2026-08-05T21:41:34Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:41:34Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:41:34Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:41:34Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:41:34Z
skill-scanner	getsentry/skills	2026-08-05T21:41:34Z
